time,lat,lon,depth,mag
2012-02-05 00:07:52.550000+00:00,37.331,72.218,177.8,4.0
2012-02-04 19:22:29.120000+00:00,36.518,70.688,145.6,4.7
2012-02-03 23:32:12.430000+00:00,36.389,71.371,104.7,4.7
2012-02-03 00:57:56.930000+00:00,36.41,71.52,79.6,4.5
2012-01-30 22:58:07.760000+00:00,7.748,93.774,48.9,4.6
2012-01-29 00:06:15.080000+00:00,36.606,71.363,79.5,4.0
2012-01-28 14:17:41.230000+00:00,5.158,94.195,35.0,4.8
2012-01-23 13:18:07.340000+00:00,32.544,89.209,43.3,4.0
2012-01-23 12:40:28.640000+00:00,4.853,96.19,58.3,4.5
2012-01-21 07:11:05.730000+00:00,12.977,93.284,54.4,4.4
2012-01-20 21:28:55.660000+00:00,10.602,91.816,35.0,4.3
2012-01-19 04:55:20.170000+00:00,28.734,66.498,20.9,4.4
2012-01-19 02:14:43.460000+00:00,36.513,71.011,200.3,4.4
2012-01-19 00:46:47.580000+00:00,29.456,81.89,10.0,4.0
2012-01-15 14:52:03.240000+00:00,4.481,94.922,57.9,4.7
2012-01-14 18:45:51.180000+00:00,23.342,64.525,10.0,4.6
2012-01-13 22:49:59.510000+00:00,36.009,70.512,100.9,5.0
2012-01-13 21:25:09.230000+00:00,36.36,70.744,130.3,4.5
2012-01-11 22:23:20.470000+00:00,25.203,95.153,105.3,4.6
2012-01-08 01:16:57.270000+00:00,36.038,70.394,93.1,4.1
2012-01-07 09:14:37.440000+00:00,4.555,96.407,40.0,4.6
2012-01-06 05:28:55.460000+00:00,25.613,96.963,51.2,4.4
2012-01-05 05:27:21.400000+00:00,12.841,95.505,10.0,4.2
2012-01-04 16:51:44.280000+00:00,26.74,66.169,10.0,4.8
2012-01-04 16:31:25.020000+00:00,33.624,74.892,22.8,4.2
2012-01-03 20:36:48.120000+00:00,35.776,77.346,62.9,4.6
2012-01-03 17:32:29.830000+00:00,7.787,92.095,43.8,4.7
2012-01-01 18:09:06.460000+00:00,4.547,96.419,35.0,5.2
2012-01-01 05:19:34.930000+00:00,10.632,91.737,10.0,4.6
2012-01-01 02:35:21.110000+00:00,23.472,91.834,27.8,4.6
2012-12-30 10:43:41.880000+00:00,22.96,95.96,37.3,4.2
2012-12-30 08:16:43.130000+00:00,24.209,91.782,22.5,4.3
2012-12-29 22:51:26.300000+00:00,25.139,99.993,10.0,4.2
2012-12-29 20:13:05.250000+00:00,36.659,71.175,233.6,4.4
2012-12-29 17:50:52.840000+00:00,35.711,70.599,117.4,5.5
2012-12-29 12:31:44.070000+00:00,36.693,70.943,224.0,4.2
